$BlockNames
EXP_JointSet_1_Axle_111:EXP社 小型車軸
GCPlasmaCutter_Angled_222_EC:GeoCorp社 アングルド光子トーチ
GCArticulatedDrill_423_EC:GeoCorp社 関節付ストライカードリル
VENFlameThrower_PS4_122:Venture社 インフェルノX2火炎放射器
VENMgun_PS4_112:Venture社 ストーマーライフル
HE_Shotgun_XboxOne_112:Hawkeye社 ライノ・ショットガン
HE_LaserZeus_XboxOne_222:Hawkeye社 トール・レーザーキャノン
HE_ArmourPlate_XboxOne_211:Hawkeye社 装甲板(中)
HE_StdBlock_01_XboxOne_111:Hawkeye社 ブロック1
HE_Bracket_4AP_XboxOne_111:Hawkeye社 角支柱
HE_Cab_07_XboxOne_111:Hawkeye社 操縦ブロック"ハンター"
HE_Mini_Gun_20_XboxOne_111:Hawkeye社 自動機関砲
HE_RailGun_XboxOne_113:Hawkeye社 レールガン
HE_ShotgunRotating_XboxOne_212:Hawkeye社 軸付ショットガン
HE_Wheel_Single_XboxOne_121:Hawkeye社 直車輪
HE_MachineGun_33_XboxOne_111:Hawkeye社 マシンガン
HE_Suppressed_Mgun_XboxOne_111:Hawkeye社 バースト銃
HE_TurretRoundabout_XboxOne_111:Hawkeye社 DFA 迫撃砲
VENBlock_PS4_111:Venture社 基本ブロック
VENBooster_PS4_111:Venture社 パルスブースター
VENCockpit_PS4_111:Venture社 クルーズ操縦ブロック
VENMediumMachineGun_PS4_121:Venture社 サブマシンガン"ウージー"
VENShotgunContact_PS4_111:Venture社 コンタクトショットガン
VENShotgunRotating_PS4_112:Venture社 360度ショットガン
VENStreamlineSmall_PS4_111:Venture社 小型ダイノブロック
VENTurretRoundabout_PS4_111:Venture社 二連装迫撃砲
VENWheel_PS4_211:Venture社 ラリータイヤ"グローブトロッター"
EXP_Gyro_AllAxis_Active_212:EXP社 ジャイロ"ホライズン"
EXP_PlasmaTeeth_311:EXP社 アゴ型プラズマ
EXP_RailGunTurret_213:EXP社 レールガン"ハンター"
EXP_Gyro_AllAxis_Active_222:EXP社 大型ジャイロ
EXPMiniGunDual_312:EXP社 二連機関砲
EXPMiningFlail_442:EXP社 連枷型防護機"キャットナイン"
EXPMiningFlail_663:EXP社 連枷型防護機"ウィンドミル"
EXPNosePropBig_662:EXP社 プロペラ”ビッグトップ”
EXPSonicLance_411:EXP社 ソニックランス
EXPSteeringHover_212:EXP社 姿勢制御スラスター"ジェットソン"
GCBlock_444:GeoCorp社 基本ブロック(特大)
HE_Block_212:Hawkeye社 基本ブロック(×4)
HE_Block_213:Hawkeye社 基本ブロック(×6)
VENBlockCorner_111:Venture社 角ブロック
VENBlockZ1_312:Venture社 Z字ブロック1
VENBlockZ2_312:Venture社 Z字ブロック2
BF_Block_111:Better Future One Block [jp]
BF_Block_Faired_111:Better Future Faired One Block [jp]
BF_Block_Smooth_111:Better Future Blanked One Block [jp]
BF_Streamline_111:Better Future Stream One Block [jp]
BF_Streamline_112:Better Future Stream Two Block [jp]
BF_Streamline_113:Better Future Stream Three Block [jp]
BF_Streamline_114:Better Future Stream Four Block [jp]
BF_Streamline_115:Better Future Stream Five Block [jp]
BF_Streamline_Corner_111:Better Future Stream Corner One Block [jp]
BF_Streamline_Corner_112:Better Future Stream Corner Two Block [jp]
BF_Streamline_Corner_113:Better Future Stream Corner Three Block [jp]
BF_Streamline_Corner_114:Better Future Stream Corner Four Block [jp]
BF_Streamline_Corner_115:Better Future Stream Corner Five Block [jp]
BF_Streamline_Corner_212:Better Future Stream Wide Two Block [jp]
BF_Streamline_Corner_L_213:Better Future Stream Wide Three Left Block [jp]
BF_Streamline_Corner_R_213:Better Future Stream Wide Three Right Block [jp]
BF_Streamline_Corner_L_214:Better Future Stream Wide Four Left Block [jp]
BF_Streamline_Corner_R_214:Better Future Stream Wide Four Right Block [jp]
BF_Streamline_Corner_L_215:Better Future Stream Wide Five Left Block [jp]
BF_Streamline_Corner_R_215:Better Future Stream Wide Five Right Block [jp]
BF_Streamline_Extender_122:Better Future Stream Extender Two Block [jp]
BF_Streamline_Extender_123:Better Future Stream Extender Three Block [jp]
BF_Cab_212:Better Future eCab [jp]
BF_Wheel_Small_Angled_122:Better Future Small Angled Halo Wheel [jp]
BF_Wheel_Small_Straight_222:Better Future Small Straight Halo Wheel [jp]
BF_Wheel_Small_Side_222:Better Future Small Side Halo Wheel [jp]
BF_Wheel_Medium_Straight_233:Better Future Medium Straight Halo Wheel [jp]
BF_Wing_Medium_Outside_413:Better Future Medium Outside Wing [jp]
BF_Booster_111:Better Future Orb Booster [jp]
BF_Hover_Ring_Large_424:Better Future Large Hover Ring [jp]
BF_Hover_Ring_Small_212:Better Future Small Hover Ring [jp]
BF_Streamline_Extender_124:Better Future Streamline Extender Four Block [jp]
BF_Streamline_Extender_125:Better Future Streamline Extender Five Block [jp]
BF_Wheel_Medium_Side_233:Better Future Medium Side Halo Wheel [jp]
BF_Wing_Medium_Middle_413:Better Future Medium Middle Wing [jp]
BF_Wing_Small_212:Better Future Small Wing [jp]
BF_Hover_Flipper_Medium_Left_323:Better Future Left Medium Hover Flipper [jp]
BF_Hover_Flipper_Medium_Right_323:Better Future Right Medium Hover Flipper [jp]
BF_Hover_Flipper_Large_Left_424:Better Future Left Large Hover Flipper [jp]
BF_Hover_Flipper_Large_Right_424:Better Future Right Large Hover Flipper [jp]
BF_FuelTank_112:Better Future Medium Fuel Tank [jp]
BF_Hover_Steering_212:Better Future Large Steering Hover [jp]
BF_Hover_Steering_111:Better Future Small Steering Hover [jp]
BF_Hover_Steering_112:Better Future Medium Steering Hover [jp]
BF_IonDrive_Small_112:Better Future Small Ion Drive [jp]
BF_IonDrive_Medium_212:Better Future Medium Ion Drive [jp]
BF_Fin_116:Better Future Fin [jp]
BF_Gyro_AllAxis_Active_111:Better Future Active All Axis Gyro [jp]
BF_AGE_111:Better Future AGE
BF_Block_112:Better Future Two Block
BF_Block_113:Better Future Three Block
BF_Block_114:Better Future Four Block
BF_Block_115:Better Future Five Block
BF_Chassis_212:Better Future Chassis One
BF_Chassis_312:Better Future Chassis Two
BF_Chassis_313:Better Future Chassis Three
BF_Chassis_314:Better Future Chassis Four
BF_Laser_112:Better Future Laser Rifle
BF_Skid_133:Better Future Small Skid Landing Gear
BF_Skid_143:Better Future Medium Skid Landing Gear
BF_Skid_254:Better Future Large Skid Landing Gear
BF_Light_112:Better Future Medium Skid Light
BF_Laser_Streamlined_112:Better Future Assault Laser Streamlined
BF_AirBrake_211:Better Future Small Air Brake
BF_AntiGravityEngine_111:Better Future Anti-gravity Pip Engine
BF_AntiGravityEngine_212:Better Future Anti-gravity Apple Engine
BF_Booster_112:Better Future Medium Booster
BF_Control_HoverPower_111:Better Future Hover Power Controller
BF_Control_Killswitch_111:Better Future Block Controller Switch
BF_FuelTank_111:Better Future Small Fuel Tank
BF_Gyro_AllAxis_Passive_111:Better Future Passive All Axis Gyro
BF_Gyro_SingleAxis_Active_112:Better Future Active Single Axis Gyro
BF_Gyro_SingleAxis_Trim_Active_221:Better Future Pitch Trim Gyro
BF_Laser_Gatling_423:Better Future Gatling Laser
BF_Laser_Streamlined_113:Better Future Speed Lance Laser
BF_MotionEngine_Linear_112:Better Future Linear Motion Engine
BF_MotionEngine_Rotational_311:Better Future Rotation Motion Engine
BF_Stabiliser_Computer_111:Better Future Stabilising Computer
BF_AirBrake_311:Better Future Medium Air Brake
$BlockDescription
EXP_JointSet_1_Axle_111:小型車軸は、小型軸受と組み合わせて使用すれば、車軸関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_1_Bearing_111:小型軸受は、小型車軸と組み合わせて使用すれば、車軸関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_1_Cap_1_111:異形車軸は、小型軸受と組み合わせて使用すれば、車軸関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_1_Cap_2_111:反転された車軸ブロックの端に取り付ける小型キャプ。好きな場所に使用可能。
EXP_JointSet_2_Axle_222:中型車軸は、中型軸受と組み合わせて使用すれば、車軸関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_2_Bearing_222:中型軸受は、中型車軸と組み合わせて使用すれば、車軸関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_3_Ball_111:小型ボールを小型ソケットに入れて使用すれば、ボールとソケットの関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_3_Socket_111:小型ソケットは、小型ボールを入れて使用すれば、ボールとソケット関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_4_Ball_332:中型ボールを中型ソケットに入れて使用すれば、ボールとソケットの関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_4_Socket_332:中型ソケットは、中型ボールを入れて使用すれば、ボールとソケット関節を作成することができます。これらは個々のユニットを用いて製作されなければならず、いずれかのブロックを接続しつつ、互いに慎重に交差させる必要があります。
EXP_JointSet_Pole_111:この小型ポールは、ボールとソケットの関節ブロック用にデザインされていますが、好きな場所に利用できます。
EXP_JointSet_Pole_121:この小型ポールは、ボールとソケットの関節ブロック用にデザインされていますが、好きな場所に使用できます。
EXPBaler_333:このブロックは、資源の塊を消費して外出先で資源ブロックを生成できるよう、特別に設計されています。合成機とは異なり、資源ブロック(GSO社製)のみを生成します。洗練されたものではなく、元の資源の塊から作るので、やや効率性に欠け、資源ブロックを作るために追加で25%分の塊が必要です。
EXPBaseCollector_111:コレクターブロックは地面からアイテムを拾い上げ、プレイヤーが組み上げた回路に投入します。
EXPBaseLoader_111:ローダーブロックはアイテムをトランスポーターから受け取り、レシーバーへ受け渡します。
EXPBaseTractorPad_111:新たな基礎ユニットと作動する新小型コレクター。
EXPBaseTractorPad_212:新たな基礎ユニットと作動する新中型コレクター。
EXPBaseTransporter_111:トランスポーターを移動ユニットに搭載すればアイテムを拠点へ送ることができます。
EXPBombBay_113:空対地攻撃に使用される爆弾。自分のTechが使えなくなってしまう可能性があるので、間違った使い方をしないように注意してください。
EXPDynamoGenerator_111:このブロックは移動ユニットに取り付けると電力を発生させます。速いユニットほど大きな電力を供給します。
EXPFlares_111:これは2連装砲ロケットランチャーであり、花火を発射して敵に爆発ダメージを与えることができます。また、お祝いして楽しむこともできます。
EXPGyro_111:このブロックは転倒を防止します。飛行機など不安定な乗り物に便利です。
EXPOspreyProp_222:離着陸のとき方向転換が可能なプロペラです。
EXPPlasmaFurnace_333:プラズマ発電機は、様々な資源を燃やして発電することが出来ます。常に資源の価値に見合った発電をしてくれるとは限りませんが、好き嫌いはしません。ただし、燃やせるのは生の資源と製錬済み資源のみです。構成部品は燃やせません。
EXPPlatform_01_441:巨大なTechを作ってその上で小型Techを動かしたいですか？この滑らかなプラットホームを使えば、接続点の付いたボコボコのモノよりも楽に操作できますよ。
EXPRadar_323:資源をこのモジュールにセットすると同じ資源の位置をレーダーに表示します。
EXPRamp_01_241:巨大なTechを作ってその上で小型Techを動かしたいですか？この滑らかな斜面を使えば、接続点の付いたボコボコのモノよりも楽に操作できますよ。
EXPRamp_02_231:巨大なTechを作ってその上で小型Techを動かしたいですか？この滑らかな斜面を使えば、接続点の付いたボコボコのモノよりも楽に操作できますよ。
EXPRamp_03_242:巨大なTechを作ってその上で小型Techを動かしたいですか？この滑らかな斜面を使えば、接続点の付いたボコボコのモノよりも楽に操作できますよ。
EXPTow_Ring_332:牽引用フックや他の牽引用リングと一緒に使用する牽引用リングを用いると、複数のユニットが一緒に使えるようになります。一つの技術にリングを取り付け、コントロールを別のユニットに切り替えて、牽引用リングまたは牽引用フックを閉じて取り付け、最初のリングと交差させてください。
EXPTowSet_1_Hook_111:牽引用リングと一緒に使用する牽引用フックを用いると、複数の技術が一緒に使えるようになります。一つのユニットにフックを取り付け、コントロールを別のユニットに切り替えて、牽引用リングまたは牽引用リングを閉じて取り付け、フックと交差させてください。
EXPTowSet_1_Ring_111:牽引用フックと牽引用リングを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを取り付け、コントロールを別の技術に切り替えて、牽引用リングまたは牽引用フックを閉じて取り付け、最初のリングと交差させてください。
EXPTowSet_2_Hook_223:牽引用フックと牽引用リングを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを取り付け、コントロールを別の技術に切り替えて、牽引用リングまたは牽引用リングを閉じて取り付け、フックと交差させてください。
EXPTowSet_2_Ring_222:牽引用リングと牽引用フックを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを取り付け、コントロールを別のユニットに切り替えて、牽引用リングを閉じて取り付け、フックと交差させてください。
EXPTowSet_3_Hook_223:牽引用フックと牽引用リングを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを取り付け、コントロールを別のユニットに切り替えて、牽引用リングを閉じて取り付け、フックと交差させてください。
EXPTowSet_3_Ring_222:牽引用フックと牽引用リングを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを一つ取り付け、コントロールを別のユニットに切り替えて、牽引用リングを閉じて取り付け、フックと交差させてください。
EXPTowSet_4_Hook_322:牽引用リングと牽引用フックを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを取り付け、コントロールを別のユニットに切り替えて、は牽引用リングを閉じて取り付け、フックと交差させてください。
EXPTowSet_4_Lock_311:端部に取り付ける箇所がある大型牽引用フック用のロックセグメント。 これにより、トレーラーへの接続がさらに安全になります。
EXPTowSet_4_Ring_322:牽引用フックと牽引用リングを組み合わせて用いると、複数のユニットが使えるようになります。一つのユニットにフックを一つ取り付け、コントロールを別のユニットに切り替えて、は牽引用リングを閉じて取り付け、フックと交差させてください。
EXPVibroKnife_112:超高速で振動する刃は斬りたいものをスパッと切ってくれます
EXPWheel_F1_212:滑らかな車輪とハードサスペンションを備えた非常に速いハンドル。オフロードタイヤではないので砂や小石には摩擦がかかりませんが、最も速く走る車輪の一つです。
EXPWheel_F1_322:滑らかな車輪とハードサスペンションを備えた非常に速いハンドル。オフロードタイヤではないので砂や小石には摩擦がかかりませんが、最も速く走る車輪の一つです。
EXPWheel_Passive_111:トレーラー用の小型車輪。ブレーキがないので坂の途中に停めてしまうと滑ってしまうので注意。通常の駆動輪ではなく、けん引する車両に使おう。
EXPWheel_Passive_222:トレーラー用の中型車輪。ブレーキがないので坂の途中に停めてしまうと滑ってしまうので注意。通常の駆動輪ではなく、けん引する車両に使おう。
GC_TB_Carbius_232:楽に運べるように圧縮されたカーバイトのブロック。分解すると120個の"カーバイト煉瓦"になる。
GC_TB_Celestian_232:楽に運べるように圧縮されたセレスタイトのブロック。分解すると120個の"セレスタイトの結晶"になる。
GC_TB_Erudian_232:楽に運べるように圧縮されたエルダイトのブロック。分解すると120個の"エルダイトの結晶"になる。
